prov,zs,pop,debutsem,c011mois,d011mois,c1259mois,d1259mois,c5ansp,d5ansp,Annee
HAUT-KATANGA,KATUBA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,6.0,0.0,2020
HAUT-KATANGA,MUFUNGA-SAMPWE,193955.0,2019-12-30,0.0,0.0,1.0,0.0,2.0,0.0,2020
HAUT-KATANGA,MUMBUNDA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,KILWA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-KATANGA,KAMALONDO,193955.0,2019-12-30,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,SAKANIA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,4.0,1.0,2020
HAUT-KATANGA,KAFUBU,193955.0,2019-12-30,0.0,0.0,1.0,1.0,6.0,3.0,2020
HAUT-KATANGA,LUBUMBASHI,193955.0,2019-12-30,0.0,0.0,0.0,0.0,3.0,0.0,2020
HAUT-KATANGA,VANGU,193955.0,2019-12-30,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,KASENGA,193955.0,2019-12-30,0.0,0.0,1.0,0.0,18.0,1.0,2020
HAUT-KATANGA,KAMPEMBA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,5.0,0.0,2020
LOMAMI,MULUMBA,193955.0,2020-08-01,0.0,0.0,0.0,0.0,2.0,0.0,2020
LUALABA,BUNKEYA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,1.0,0.0,2020
LUALABA,FUNGURUME,193955.0,2019-12-30,0.0,0.0,0.0,0.0,1.0,0.0,2020
MAINDOMBE,BOLOBO,193955.0,2019-12-30,0.0,0.0,0.0,0.0,1.0,0.0,2020
MANIEMA,SARAMABILA,193955.0,2020-12-30,0.0,0.0,1.0,0.0,1.0,0.0,2020
TANGANYIKA,KALEMIE,193955.0,2019-12-30,0.0,0.0,6.0,0.0,42.0,0.0,2020
TANGANYIKA,KANSIMBA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,1.0,0.0,2020
TANGANYIKA,MANONO,193955.0,2019-12-30,0.0,0.0,0.0,0.0,1.0,0.0,2020
TANGANYIKA,MOBA,193955.0,2019-12-30,0.0,0.0,1.0,0.0,8.0,0.0,2020
TANGANYIKA,NYEMBA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,6.0,0.0,2020
TSHOPO,YAKUSU,193955.0,2019-12-30,0.0,0.0,36.0,0.0,29.0,1.0,2020
HAUT-LOMAMI,BUTUMBA,193955.0,2019-12-30,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-LOMAMI,MALEMBA-NKULU,193955.0,2019-12-30,0.0,0.0,0.0,0.0,4.0,0.0,2020
HAUT-LOMAMI,MULONGO,193955.0,2019-12-30,0.0,0.0,2.0,0.0,6.0,0.0,2020
SUD-KIVU,MINOVA,193955.0,2020-05-01,0.0,0.0,3.0,0.0,13.0,0.0,2020
SUD-KIVU,KABARE,193955.0,2020-05-01,0.0,0.0,0.0,0.0,7.0,0.0,2020
SUD-KIVU,BAGIRA-KASHA,193955.0,2020-05-01,0.0,0.0,5.0,0.0,12.0,1.0,2020
SUD-KIVU,IBANDA,193955.0,2020-05-01,0.0,0.0,0.0,0.0,5.0,0.0,2020
SUD-KIVU,MUBUMBANO,193955.0,2020-05-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
SUD-KIVU,IDJWI,193955.0,2020-05-01,0.0,0.0,1.0,0.0,10.0,0.0,2020
SUD-KIVU,KALEHE,193955.0,2020-05-01,0.0,0.0,4.0,0.0,5.0,0.0,2020
SUD-KIVU,KATANA,193955.0,2020-05-01,0.0,0.0,1.0,0.0,5.0,0.0,2020
SUD-KIVU,FIZI,193955.0,2020-05-01,0.0,0.0,44.0,0.0,108.0,0.0,2020
SUD-KIVU,UVIRA,193955.0,2020-05-01,0.0,0.0,1.0,0.0,7.0,0.0,2020
KASAI-ORIENTAL,LUKELENGE,193955.0,2019-12-30,0.0,0.0,0.0,0.0,2.0,0.0,2020
